[Train] Iter 10/5000 | Time: 66.61s | Batch_OA: 75.18 | Batch_mIoU: 37.87 | CE_loss: 0.615
[Train] Iter 20/5000 | Time: 7.11s | Batch_OA: 94.95 | Batch_mIoU: 47.67 | CE_loss: 0.507
[Train] Iter 30/5000 | Time: 7.03s | Batch_OA: 91.21 | Batch_mIoU: 46.19 | CE_loss: 0.500
[Train] Iter 40/5000 | Time: 6.93s | Batch_OA: 85.15 | Batch_mIoU: 43.49 | CE_loss: 0.471
[Train] Iter 50/5000 | Time: 7.09s | Batch_OA: 94.69 | Batch_mIoU: 47.98 | CE_loss: 0.441
[Train] Iter 60/5000 | Time: 7.11s | Batch_OA: 93.51 | Batch_mIoU: 46.99 | CE_loss: 0.440
[Train] Iter 70/5000 | Time: 7.34s | Batch_OA: 86.12 | Batch_mIoU: 43.22 | CE_loss: 0.449
[Train] Iter 80/5000 | Time: 7.22s | Batch_OA: 92.01 | Batch_mIoU: 46.14 | CE_loss: 0.407
[Train] Iter 90/5000 | Time: 7.26s | Batch_OA: 96.40 | Batch_mIoU: 48.40 | CE_loss: 0.505
[Train] Iter 100/5000 | Time: 7.07s | Batch_OA: 96.35 | Batch_mIoU: 48.46 | CE_loss: 0.484
[Train] Iter 110/5000 | Time: 6.93s | Batch_OA: 91.71 | Batch_mIoU: 46.42 | CE_loss: 0.444
[Train] Iter 120/5000 | Time: 6.96s | Batch_OA: 95.98 | Batch_mIoU: 48.22 | CE_loss: 0.414
[Train] Iter 130/5000 | Time: 7.05s | Batch_OA: 95.88 | Batch_mIoU: 48.55 | CE_loss: 0.467
[Train] Iter 140/5000 | Time: 7.02s | Batch_OA: 95.60 | Batch_mIoU: 48.16 | CE_loss: 0.418
[Train] Iter 150/5000 | Time: 6.99s | Batch_OA: 98.70 | Batch_mIoU: 49.50 | CE_loss: 0.300
[Train] Iter 160/5000 | Time: 6.95s | Batch_OA: 96.90 | Batch_mIoU: 48.49 | CE_loss: 0.418
[Train] Iter 170/5000 | Time: 6.86s | Batch_OA: 97.63 | Batch_mIoU: 48.83 | CE_loss: 0.454
[Train] Iter 180/5000 | Time: 7.09s | Batch_OA: 97.38 | Batch_mIoU: 48.87 | CE_loss: 0.441
